HTL1_u_h,HTL1_Ntr,HTL2_u_h,EML_u_h,EML_u_e,EML_recom,ETL2_u_e,ETL1_u_e,ETL1_Ntr
1.445E-04,2.138E+16,5.495E-05,8.128E-06,8.710E-08,4.244E-12,2.089E-07,1.995E-05,1.995E+17
9.333E-08,1.096E+15,4.571E-06,7.586E-10,8.318E-07,4.300E-13,1.413E-06,8.710E-04,6.026E+14
1.479E-04,1.514E+17,7.413E-07,1.445E-10,9.120E-08,4.718E-14,2.818E-06,4.365E-08,6.761E+17
2.089E-05,5.888E+14,1.549E-08,1.905E-08,2.951E-06,1.534E-12,3.631E-04,1.259E-08,3.162E+16
3.802E-08,1.175E+15,1.202E-04,7.943E-09,7.079E-09,7.760E-15,3.548E-06,4.467E-08,6.310E+16
1.585E-06,2.754E+15,3.020E-06,1.122E-09,3.236E-08,1.729E-14,7.586E-07,1.096E-06,1.862E+16
1.349E-07,3.890E+17,1.950E-04,2.399E-07,2.951E-10,1.241E-13,3.162E-05,5.012E-08,5.129E+17
1.349E-06,1.514E+17,1.349E-08,8.318E-08,3.388E-07,2.180E-13,1.698E-08,2.630E-05,8.710E+16
2.754E-06,2.042E+17,6.310E-04,4.898E-06,1.905E-09,2.531E-12,2.455E-08,1.479E-08,1.122E+17
3.388E-04,9.550E+17,3.236E-06,1.175E-10,7.244E-09,3.803E-15,8.128E-04,7.413E-05,2.138E+16
3.388E-04,9.550E+17,3.236E-06,1.175E-10,7.244E-09,3.803E-15,8.128E-04,7.413E-05,2.138E+16
3.311E-07,1.778E+15,1.585E-06,8.128E-09,4.571E-10,4.435E-15,1.072E-08,9.333E-06,2.042E+17
2.754E-04,4.074E+15,7.586E-04,9.550E-09,4.571E-07,2.410E-13,3.236E-05,1.413E-04,1.096E+16
7.244E-07,4.365E+16,3.548E-04,3.236E-10,2.455E-07,1.270E-13,1.380E-06,2.455E-04,1.479E+14
7.413E-04,8.318E+15,7.244E-04,7.413E-10,3.890E-08,2.048E-14,1.202E-08,7.244E-07,1.148E+15
1.023E-08,1.905E+15,1.096E-08,6.166E-06,3.388E-08,3.202E-12,7.762E-08,4.571E-08,2.138E+14
1.905E-07,2.754E+17,4.074E-08,1.413E-08,7.244E-06,3.749E-12,9.333E-05,1.047E-05,1.259E+15
1.096E-06,5.012E+14,5.248E-06,7.079E-10,4.365E-08,2.291E-14,1.230E-07,6.607E-08,1.023E+15
7.079E-07,5.623E+16,8.710E-07,5.370E-07,3.802E-07,4.738E-13,2.818E-06,1.445E-04,2.291E+15
5.754E-05,2.692E+15,5.754E-05,1.622E-06,3.236E-09,8.394E-13,6.918E-08,2.692E-06,2.042E+14
2.138E-05,2.291E+16,9.772E-05,1.660E-10,5.248E-10,3.568E-16,9.550E-05,1.862E-06,1.514E+14
1.072E-05,3.236E+14,7.943E-08,1.202E-07,6.918E-08,9.784E-14,3.090E-04,1.202E-06,2.754E+15
3.236E-04,6.026E+14,4.786E-04,4.074E-08,1.072E-10,2.110E-14,5.623E-05,5.495E-08,8.128E+14
4.898E-06,9.333E+17,7.943E-05,1.950E-08,1.259E-10,1.014E-14,1.122E-07,1.514E-04,3.020E+17
2.951E-04,1.023E+15,1.514E-08,1.413E-09,4.571E-08,2.434E-14,4.467E-07,5.495E-05,3.467E+14
3.020E-05,9.333E+17,3.020E-05,5.129E-06,7.079E-07,3.015E-12,7.762E-04,2.951E-04,1.905E+16
7.762E-08,8.913E+14,2.344E-08,2.291E-08,3.090E-07,1.715E-13,1.698E-04,1.349E-05,4.074E+15
1.820E-08,3.090E+14,9.120E-04,8.511E-06,1.445E-08,4.404E-12,1.230E-05,3.981E-08,8.128E+16
4.074E-04,2.512E+16,9.772E-04,1.259E-06,1.175E-06,1.257E-12,8.913E-07,3.467E-06,9.550E+17
1.698E-04,4.074E+17,4.571E-04,8.710E-08,1.288E-08,5.164E-14,1.445E-07,7.079E-07,1.585E+16
3.548E-07,1.514E+14,1.820E-06,3.981E-08,1.479E-06,7.846E-13,1.380E-07,1.905E-06,1.380E+17
1.445E-04,2.138E+16,4.074E-07,3.802E-06,7.244E-06,5.706E-12,1.072E-05,1.288E-06,8.710E+16
1.023E-07,4.571E+15,4.571E-08,1.862E-09,8.318E-09,5.258E-15,2.818E-06,1.000E-08,3.890E+14
3.802E-06,4.266E+17,9.120E-06,1.288E-07,2.399E-09,6.778E-14,2.042E-05,4.898E-08,1.023E+17
5.754E-05,1.995E+16,1.995E-08,8.710E-10,3.467E-06,1.792E-12,4.786E-05,3.388E-06,1.413E+17
2.884E-04,6.457E+17,8.318E-08,4.571E-07,8.128E-10,2.365E-13,4.786E-06,8.710E-08,3.090E+16
2.818E-04,6.166E+16,1.230E-05,1.585E-06,2.630E-06,2.177E-12,2.344E-04,4.266E-05,2.754E+14
4.677E-04,5.888E+14,5.370E-07,3.311E-08,3.631E-10,1.729E-14,2.138E-06,7.762E-06,2.512E+14
3.090E-07,1.905E+15,1.995E-08,3.715E-07,9.120E-09,1.966E-13,4.786E-07,1.175E-04,1.778E+16
4.677E-05,7.762E+15,7.586E-05,5.754E-07,1.023E-07,3.501E-13,1.479E-07,7.943E-08,1.549E+17
6.166E-04,4.677E+14,1.380E-06,5.248E-08,1.288E-06,6.925E-13,4.786E-06,1.148E-07,4.074E+14
1.175E-06,9.550E+15,8.710E-05,5.370E-06,3.090E-09,2.776E-12,1.738E-04,1.122E-05,4.074E+14
3.890E-07,3.162E+14,6.918E-04,1.622E-08,1.660E-08,1.695E-14,3.467E-07,1.660E-07,2.089E+17
7.079E-07,3.311E+17,6.918E-06,3.236E-09,1.820E-10,1.766E-15,1.122E-08,4.169E-06,1.318E+17
1.202E-05,1.349E+14,4.677E-07,3.548E-06,1.000E-05,6.998E-12,7.943E-08,2.188E-04,4.898E+16
5.012E-04,6.918E+14,5.623E-05,9.333E-08,5.754E-07,3.454E-13,1.288E-06,3.090E-07,3.090E+14
2.291E-05,1.000E+17,6.761E-04,3.631E-07,2.089E-06,1.267E-12,2.291E-06,8.710E-06,1.288E+15
9.120E-06,2.291E+15,3.467E-05,3.236E-08,1.380E-06,7.297E-13,1.318E-07,2.042E-07,8.913E+17
2.239E-07,5.129E+14,5.248E-07,9.550E-10,1.259E-09,1.144E-15,3.311E-06,3.631E-05,4.786E+15
1.380E-04,4.266E+17,5.012E-07,1.259E-09,1.622E-07,8.442E-14,8.710E-04,2.455E-07,1.950E+15
1.738E-08,5.754E+15,7.762E-04,1.230E-09,2.884E-06,1.490E-12,3.548E-05,1.738E-06,2.884E+15
1.445E-04,1.230E+16,5.129E-08,9.550E-07,2.344E-10,4.934E-13,3.388E-08,6.166E-07,2.818E+17
3.631E-05,5.012E+17,1.318E-07,4.677E-08,3.311E-09,2.587E-14,4.677E-05,3.236E-04,7.586E+14
2.951E-06,4.571E+17,1.072E-05,5.248E-09,2.291E-10,2.829E-15,1.950E-08,2.138E-08,4.898E+17
2.570E-05,4.169E+14,1.349E-08,2.884E-08,1.660E-06,8.721E-13,1.413E-05,3.090E-08,6.310E+14
5.754E-04,6.761E+15,3.236E-07,6.457E-08,1.862E-08,4.297E-14,6.761E-08,1.514E-08,1.585E+16
4.365E-08,1.380E+15,2.692E-08,2.630E-06,2.754E-07,1.501E-12,5.248E-08,5.129E-04,9.772E+14
1.514E-08,1.778E+16,1.950E-06,1.445E-08,2.570E-09,8.794E-15,1.445E-07,5.888E-07,1.230E+14
2.089E-07,4.074E+17,4.786E-06,5.754E-09,8.710E-07,4.529E-13,4.365E-05,1.349E-08,4.571E+15
3.631E-06,1.288E+16,1.622E-07,1.230E-06,2.399E-07,7.594E-13,8.710E-04,4.467E-08,1.122E+14
2.138E-07,1.738E+16,9.333E-04,4.571E-09,3.802E-08,2.200E-14,1.950E-05,9.550E-06,1.445E+17
1.905E-05,1.318E+14,9.550E-04,4.467E-08,1.950E-10,2.317E-14,7.413E-05,6.761E-08,6.918E+16
8.710E-05,1.905E+16,3.715E-08,1.000E-10,8.913E-09,4.655E-15,1.820E-06,1.349E-05,1.230E+15
1.047E-06,3.981E+15,1.698E-07,1.862E-06,9.772E-10,9.624E-13,2.570E-06,2.089E-05,2.818E+15
1.738E-06,7.413E+15,4.571E-07,6.310E-06,1.318E-07,3.327E-12,2.754E-04,2.570E-04,9.550E+17
1.660E-06,1.413E+16,9.333E-07,5.754E-10,4.365E-06,2.255E-12,8.913E-05,4.786E-06,5.754E+17
3.548E-04,5.012E+16,2.239E-07,3.020E-09,7.586E-09,5.478E-15,1.862E-06,3.890E-08,3.388E+14
5.012E-04,1.413E+16,5.888E-07,1.698E-09,8.710E-07,4.508E-13,4.467E-04,2.455E-08,1.047E+15
3.236E-05,6.457E+15,2.138E-06,1.122E-07,2.239E-08,6.952E-14,4.467E-05,1.148E-05,1.622E+16
1.738E-08,3.802E+14,2.512E-04,1.148E-10,3.548E-10,2.426E-16,1.122E-06,4.571E-04,5.129E+14
4.467E-04,1.585E+14,5.248E-05,3.236E-10,4.266E-08,2.220E-14,2.884E-08,5.623E-07,3.802E+15
3.467E-08,9.550E+17,1.047E-06,5.370E-08,9.120E-10,2.821E-14,6.310E-04,1.202E-04,9.120E+16
7.586E-06,7.586E+15,9.550E-07,5.754E-07,3.981E-09,2.993E-13,2.512E-07,6.310E-04,9.550E+15
8.318E-08,9.333E+17,2.089E-05,3.236E-08,9.120E-10,1.719E-14,4.169E-04,7.943E-06,1.072E+16
4.365E-07,5.754E+17,2.630E-07,7.762E-10,5.495E-09,3.240E-15,3.467E-07,1.318E-04,5.129E+15
3.311E-05,8.913E+16,2.630E-06,3.020E-06,2.512E-10,1.560E-12,1.549E-05,3.715E-08,2.951E+15
8.710E-04,6.457E+14,1.047E-05,6.166E-10,4.571E-09,2.680E-15,3.236E-04,9.333E-06,3.236E+15
8.710E-06,2.570E+14,1.318E-04,2.630E-08,3.388E-06,1.764E-12,1.202E-07,2.512E-04,2.754E+15
2.951E-08,2.291E+14,8.913E-04,3.631E-10,7.943E-07,4.105E-13,1.622E-06,1.349E-07,1.905E+15
1.288E-08,7.586E+15,2.344E-07,2.042E-07,1.698E-06,9.827E-13,5.623E-05,4.169E-05,4.169E+16
6.918E-07,3.020E+14,7.762E-08,1.738E-07,2.399E-08,1.022E-13,3.311E-06,8.710E-06,3.311E+15
1.549E-05,4.467E+16,1.288E-07,1.950E-06,3.802E-09,1.009E-12,7.762E-05,2.570E-06,1.047E+16
1.349E-08,7.586E+17,3.981E-05,6.166E-07,3.236E-08,3.352E-13,1.259E-08,1.585E-08,1.202E+17
1.122E-08,7.943E+14,1.445E-04,5.754E-09,1.445E-10,3.047E-15,9.772E-06,6.026E-07,4.898E+17
1.122E-06,9.333E+14,5.754E-05,7.079E-09,3.890E-06,2.013E-12,5.623E-07,1.514E-07,7.762E+17
4.571E-05,3.467E+16,1.995E-04,1.096E-08,1.349E-06,7.025E-13,2.042E-05,4.786E-04,2.042E+15
2.512E-07,1.096E+15,9.333E-04,2.089E-09,2.692E-08,1.498E-14,9.550E-06,3.631E-05,2.818E+17
2.344E-07,3.090E+17,1.202E-05,1.995E-07,2.239E-10,1.032E-13,7.244E-04,1.549E-05,2.138E+17
1.023E-06,2.344E+14,1.380E-08,1.288E-06,4.898E-08,6.907E-13,3.890E-04,6.607E-04,4.365E+17
1.122E-04,5.370E+15,1.230E-06,4.365E-09,9.550E-08,5.158E-14,7.943E-06,5.012E-06,9.772E+15
3.802E-07,9.333E+17,7.079E-04,1.288E-08,5.754E-10,6.952E-15,7.943E-04,3.715E-05,6.310E+14
4.571E-05,4.365E+15,1.660E-04,7.413E-08,1.698E-10,3.838E-14,1.380E-07,9.120E-05,6.761E+15
9.333E-05,4.467E+16,6.310E-05,2.399E-09,7.079E-07,3.669E-13,2.754E-05,4.074E-04,6.166E+16
5.495E-06,1.445E+14,1.122E-07,4.898E-09,6.310E-09,5.789E-15,5.888E-08,1.413E-04,3.715E+16
1.905E-05,9.550E+17,3.631E-05,1.175E-10,2.291E-09,1.244E-15,1.778E-06,2.951E-05,8.318E+15
1.288E-04,1.820E+14,1.549E-05,7.244E-09,2.399E-09,4.981E-15,7.586E-06,1.175E-06,2.692E+16
1.445E-08,5.248E+17,8.511E-05,5.754E-10,6.166E-09,3.482E-15,1.230E-08,1.820E-07,7.413E+16
1.349E-08,2.344E+17,6.310E-06,1.072E-09,9.772E-06,5.048E-12,4.677E-06,2.399E-08,6.310E+16
9.550E-06,1.445E+17,3.548E-08,1.995E-10,1.660E-10,1.888E-16,1.585E-06,7.762E-06,6.026E+14
7.079E-07,6.918E+15,1.259E-08,8.913E-10,1.023E-07,5.332E-14,2.754E-06,7.244E-05,6.918E+15
4.677E-04,6.607E+16,5.129E-04,2.951E-07,4.571E-07,3.886E-13,2.951E-07,6.310E-05,2.692E+14
4.677E-04,6.607E+16,5.129E-04,2.951E-07,4.571E-07,3.886E-13,2.951E-07,6.310E-05,2.692E+14
9.333E-06,2.089E+15,9.550E-07,1.072E-10,5.012E-08,2.594E-14,2.239E-08,1.122E-05,2.692E+16
4.898E-08,1.820E+16,2.344E-05,1.175E-10,7.244E-07,3.743E-13,5.129E-04,1.023E-08,6.761E+16
1.023E-04,1.202E+16,3.631E-08,7.762E-07,2.692E-06,1.791E-12,7.413E-07,3.162E-04,8.913E+17
4.677E-06,1.660E+14,7.079E-06,5.623E-10,1.549E-08,8.291E-15,2.344E-07,1.047E-08,3.467E+14
1.479E-04,1.445E+14,2.188E-06,2.884E-07,3.631E-08,1.677E-13,5.623E-04,6.457E-04,1.549E+16
6.918E-08,9.333E+14,4.074E-06,5.248E-07,3.467E-06,2.062E-12,1.349E-06,1.380E-06,2.692E+14
2.455E-05,2.291E+14,8.128E-06,1.514E-08,7.244E-08,4.524E-14,3.311E-04,2.188E-06,7.413E+14
5.495E-05,2.291E+14,7.244E-08,1.349E-09,6.457E-08,3.405E-14,1.000E-08,2.512E-08,1.514E+17
4.074E-07,3.236E+17,3.548E-07,2.291E-10,8.128E-06,4.199E-12,1.096E-05,2.239E-08,1.072E+17
5.248E-07,9.333E+16,1.445E-06,4.898E-06,1.230E-06,3.165E-12,2.951E-05,1.230E-06,2.570E+15
1.023E-08,5.012E+15,1.622E-04,1.349E-09,5.888E-07,3.049E-13,3.890E-07,5.495E-04,4.786E+16
5.495E-06,1.148E+14,3.890E-04,1.096E-09,2.399E-07,1.245E-13,5.129E-06,1.514E-07,2.042E+14
2.399E-04,1.380E+17,2.138E-07,1.622E-10,4.467E-09,2.391E-15,4.169E-05,1.950E-06,9.120E+17
4.677E-05,3.090E+14,8.318E-06,1.259E-08,5.370E-09,9.277E-15,2.239E-08,1.445E-05,1.585E+16
1.698E-06,1.349E+14,5.754E-06,8.511E-08,2.570E-06,1.372E-12,9.333E-05,6.310E-07,3.890E+16
1.778E-08,2.239E+17,1.259E-04,1.950E-08,1.380E-07,8.137E-14,5.888E-05,2.754E-07,2.512E+17
4.169E-08,3.388E+17,2.188E-07,9.120E-06,3.388E-07,4.886E-12,3.236E-05,2.138E-07,8.511E+16
3.311E-08,1.820E+16,2.344E-07,1.202E-08,2.291E-06,1.190E-12,3.467E-04,3.311E-05,4.571E+15
2.884E-06,1.175E+14,8.128E-07,1.950E-08,5.012E-09,1.266E-14,5.129E-05,3.890E-05,1.413E+14
1.514E-04,1.148E+16,5.754E-06,3.548E-10,1.479E-06,7.642E-13,2.188E-08,2.089E-07,2.455E+17
3.162E-04,1.738E+16,8.913E-07,7.943E-10,8.710E-09,4.909E-15,4.169E-06,3.162E-05,5.248E+16
6.761E-04,1.148E+17,1.148E-04,3.388E-06,1.072E-10,1.750E-12,2.570E-08,3.548E-05,3.020E+16
3.890E-07,3.090E+14,2.188E-06,5.754E-06,6.761E-07,3.322E-12,7.586E-04,4.169E-04,4.898E+14
2.239E-04,4.365E+14,6.761E-07,1.585E-10,4.898E-07,2.531E-13,1.585E-05,2.455E-07,1.549E+15
5.012E-08,3.631E+17,7.762E-04,1.738E-08,2.399E-08,2.137E-14,4.786E-04,1.698E-06,1.698E+14
2.570E-05,1.820E+14,1.738E-08,6.166E-07,1.023E-10,3.186E-13,7.943E-08,1.175E-08,1.995E+16
1.738E-04,1.862E+14,9.120E-08,4.467E-10,2.344E-06,1.211E-12,1.995E-06,7.244E-06,2.089E+14
1.479E-08,3.548E+14,3.467E-07,3.981E-09,2.951E-07,1.545E-13,2.754E-04,3.020E-08,1.175E+15
6.607E-08,1.349E+16,3.548E-08,2.630E-10,1.445E-09,8.825E-16,8.318E-05,1.862E-05,4.571E+17
3.631E-07,3.890E+17,6.457E-07,1.000E-05,1.738E-10,5.166E-12,1.549E-04,9.772E-06,8.128E+15
1.862E-06,3.981E+15,4.786E-05,4.571E-08,9.772E-08,7.409E-14,1.288E-07,9.120E-08,2.630E+16
8.511E-08,4.266E+16,1.259E-04,2.344E-10,3.631E-08,1.888E-14,1.862E-08,1.950E-08,2.089E+16
3.981E-06,1.738E+15,3.090E-05,1.349E-07,1.413E-08,7.698E-14,2.399E-04,5.888E-05,6.166E+14
3.020E-05,2.399E+14,3.467E-08,3.236E-09,4.365E-07,2.272E-13,1.862E-05,7.244E-04,2.089E+14
5.888E-08,2.344E+17,1.698E-05,1.047E-09,3.311E-09,2.251E-15,3.548E-08,2.399E-08,7.413E+14
5.888E-08,2.344E+17,1.698E-05,1.047E-09,3.311E-09,2.251E-15,3.548E-08,2.399E-08,7.413E+14
3.162E-04,3.236E+16,8.913E-04,5.495E-10,2.042E-06,1.055E-12,7.943E-04,2.754E-05,3.090E+16
2.818E-08,3.631E+17,8.511E-08,1.380E-08,2.138E-07,1.176E-13,1.288E-08,9.120E-04,6.166E+14
2.138E-07,4.467E+15,1.622E-07,1.698E-07,5.370E-10,8.800E-14,1.230E-05,6.166E-05,5.370E+14
1.000E-07,8.318E+16,9.120E-07,1.202E-08,9.550E-10,6.704E-15,2.138E-08,7.079E-08,1.950E+15
1.585E-04,4.571E+16,2.138E-08,1.820E-08,5.495E-09,1.224E-14,3.715E-05,3.715E-06,2.291E+14
1.122E-05,1.259E+16,3.090E-05,3.715E-10,1.622E-07,8.397E-14,5.248E-06,1.122E-07,7.079E+15
4.571E-06,1.698E+15,2.884E-06,1.413E-07,1.778E-07,1.648E-13,5.754E-08,1.778E-05,1.950E+14
1.950E-04,9.550E+15,5.370E-05,2.570E-08,2.818E-08,2.784E-14,4.786E-04,1.096E-08,5.754E+16
5.888E-06,3.715E+17,6.918E-06,5.248E-06,1.318E-07,2.779E-12,2.512E-07,5.370E-07,2.570E+17
1.660E-04,9.550E+14,1.288E-08,1.096E-10,8.710E-10,5.065E-16,3.311E-05,1.259E-08,1.122E+16
3.388E-07,9.550E+15,2.692E-06,1.862E-09,1.660E-09,1.819E-15,2.399E-08,2.884E-05,4.266E+15
1.259E-05,3.802E+15,6.310E-04,5.129E-10,3.890E-07,2.012E-13,5.370E-04,1.778E-05,9.333E+16
8.710E-07,5.012E+15,1.175E-05,1.622E-06,3.548E-10,8.379E-13,7.413E-06,6.607E-05,4.074E+15
4.169E-04,3.311E+15,4.365E-08,2.692E-07,9.550E-07,6.323E-13,7.586E-05,1.202E-06,1.096E+14
7.079E-06,3.311E+15,1.862E-04,3.467E-06,1.479E-08,1.799E-12,2.188E-06,3.802E-06,9.120E+14
4.571E-05,2.344E+15,7.244E-08,2.630E-06,2.042E-09,1.360E-12,1.698E-04,3.311E-04,2.239E+15
3.802E-07,2.512E+16,5.888E-06,1.288E-10,7.079E-07,3.658E-13,6.166E-05,1.175E-06,6.026E+17
7.943E-07,5.012E+15,5.495E-04,1.202E-07,7.413E-07,4.450E-13,6.918E-04,2.138E-04,6.457E+17
2.570E-07,3.311E+16,1.023E-06,1.230E-08,9.120E-08,5.346E-14,1.549E-06,1.259E-05,4.074E+16
2.512E-04,1.072E+17,4.571E-07,1.862E-09,5.623E-08,3.001E-14,4.677E-04,2.042E-04,3.890E+16
2.512E-04,1.072E+17,4.571E-07,1.862E-09,5.623E-08,3.001E-14,4.677E-04,2.042E-04,3.890E+16
